Step,Action,Reward,RevealedBoard
1,"(5, 5)",20,"[[False, False, False, False, False, False], [False, False, False, False, False, False], [False, False, False, False, False, False], [False, False, False, False, False, False], [False, False, True, True, True, True], [False, False, True, True, True, True]]"
2,"(2, 3)",1,"[[False, False, False, False, False, False], [False, False, False, False, False, False], [False, False, False, True, False, False], [False, False, False, False, False, False], [False, False, True, True, True, True], [False, False, True, True, True, True]]"
3,"(0, 5)",14,"[[False, False, False, False, True, True], [False, False, False, False, True, True], [False, False, False, True, True, True], [False, False, False, False, False, False], [False, False, True, True, True, True], [False, False, True, True, True, True]]"
4,"(3, 3)",1,"[[False, False, False, False, True, True], [False, False, False, False, True, True], [False, False, False, True, True, True], [False, False, False, True, False, False], [False, False, True, True, True, True], [False, False, True, True, True, True]]"
5,"(2, 1)",1,"[[False, False, False, False, True, True], [False, False, False, False, True, True], [False, True, False, True, True, True], [False, False, False, True, False, False], [False, False, True, True, True, True], [False, False, True, True, True, True]]"
6,"(1, 3)",1,"[[False, False, False, False, True, True], [False, False, False, True, True, True], [False, True, False, True, True, True], [False, False, False, True, False, False], [False, False, True, True, True, True], [False, False, True, True, True, True]]"
7,"(0, 2)",1,"[[False, False, True, False, True, True], [False, False, False, True, True, True], [False, True, False, True, True, True], [False, False, False, True, False, False], [False, False, True, True, True, True], [False, False, True, True, True, True]]"
8,"(0, 1)",30,"[[True, True, True, False, True, True], [True, True, True, True, True, True], [True, True, False, True, True, True], [True, True, False, True, False, False], [True, True, True, True, True, True], [False, False, True, True, True, True]]"
9,"(5, 0)",1,"[[True, True, True, False, True, True], [True, True, True, True, True, True], [True, True, False, True, True, True], [True, True, False, True, False, False], [True, True, True, True, True, True], [True, False, True, True, True, True]]"
10,"(3, 4)",51,"[[True, True, True, False, True, True], [True, True, True, True, True, True], [True, True, False, True, True, True], [True, True, False, True, True, False], [True, True, True, True, True, True], [True, False, True, True, True, True]]"

Board
0,0,1,-1,1,0
0,1,2,2,1,0
0,2,-1,2,1,1
0,2,-1,2,1,-1
1,2,2,1,1,1
1,-1,1,0,0,0
