Step,Action,Reward,RevealedBoard
1,"(5, 2)",26,"[[False, False, False, False, False, False], [False, False, False, False, False, False], [False, False, False, False, False, False], [False, False, False, False, False, False], [False, True, True, True, True, True], [False, True, True, True, True, True]]"
2,"(3, 0)",1,"[[False, False, False, False, False, False], [False, False, False, False, False, False], [False, False, False, False, False, False], [True, False, False, False, False, False], [False, True, True, True, True, True], [False, True, True, True, True, True]]"
3,"(5, 0)",1,"[[False, False, False, False, False, False], [False, False, False, False, False, False], [False, False, False, False, False, False], [True, False, False, False, False, False], [False, True, True, True, True, True], [True, True, True, True, True, True]]"
4,"(1, 5)",25,"[[False, False, False, True, True, True], [False, False, False, True, True, True], [False, False, False, True, True, True], [True, False, False, False, False, False], [False, True, True, True, True, True], [True, True, True, True, True, True]]"
5,"(2, 2)",1,"[[False, False, False, True, True, True], [False, False, False, True, True, True], [False, False, True, True, True, True], [True, False, False, False, False, False], [False, True, True, True, True, True], [True, True, True, True, True, True]]"
6,"(0, 0)",8,"[[True, True, False, True, True, True], [True, True, False, True, True, True], [False, False, True, True, True, True], [True, False, False, False, False, False], [False, True, True, True, True, True], [True, True, True, True, True, True]]"
7,"(3, 1)",1,"[[True, True, False, True, True, True], [True, True, False, True, True, True], [False, False, True, True, True, True], [True, True, False, False, False, False], [False, True, True, True, True, True], [True, True, True, True, True, True]]"
8,"(3, 5)",1,"[[True, True, False, True, True, True], [True, True, False, True, True, True], [False, False, True, True, True, True], [True, True, False, False, False, True], [False, True, True, True, True, True], [True, True, True, True, True, True]]"
9,"(3, 2)",1,"[[True, True, False, True, True, True], [True, True, False, True, True, True], [False, False, True, True, True, True], [True, True, True, False, False, True], [False, True, True, True, True, True], [True, True, True, True, True, True]]"
10,"(2, 1)",1,"[[True, True, False, True, True, True], [True, True, False, True, True, True], [False, True, True, True, True, True], [True, True, True, False, False, True], [False, True, True, True, True, True], [True, True, True, True, True, True]]"
11,"(0, 2)",51,"[[True, True, True, True, True, True], [True, True, False, True, True, True], [False, True, True, True, True, True], [True, True, True, False, False, True], [False, True, True, True, True, True], [True, True, True, True, True, True]]"

Board
0,1,1,1,0,0
1,2,-1,1,0,0
-1,2,2,3,2,1
2,2,1,-1,-1,1
-1,1,1,2,2,1
1,1,0,0,0,0
