Episode;WinRate
0;0,115
200;0,16
400;0,18
600;0,1975
800;0,215
1000;0,240833333
1200;0,267142857
1400;0,279375
1600;0,296111111
1800;0,313
2000;0,329545455
2200;0,340416667
2400;0,353461538
2600;0,369642857
2800;0,380666667
3000;0,3946875
3200;0,407941176
3400;0,419166667
3600;0,429736842
3800;0,441
4000;0,452619048
4200;0,4625
4400;0,471304348
4600;0,479583333
4800;0,4892
5000;0,497884615
5200;0,507407407
5400;0,512678571
5600;0,521551724
5800;0,529666667
6000;0,537258065
6200;0,54234375
6400;0,548333333
6600;0,554852941
6800;0,560857143
7000;0,567222222
7200;0,574189189
7400;0,579473684
7600;0,585769231
7800;0,59175
8000;0,597560976
8200;0,603333333
8400;0,607674419
8600;0,611818182
8800;0,617555556
9000;0,622065217
9200;0,626382979
9400;0,630729167
9600;0,635102041
9800;0,6399
10000;0,175
10200;0,19
10400;0,198333333
10600;0,21375
10800;0,217
11000;0,2175
11200;0,227142857
11400;0,235625
11600;0,241111111
11800;0,2505
12000;0,259090909
12200;0,26875
12400;0,277692308
12600;0,282857143
12800;0,29
13000;0,3015625
13200;0,310588235
13400;0,319444444
13600;0,326315789
13800;0,335
14000;0,343333333
14200;0,349545455
14400;0,355869565
14600;0,361666667
14800;0,367
15000;0,373653846
15200;0,378703704
15400;0,384285714
15600;0,390172414
15800;0,397833333
16000;0,40483871
16200;0,4103125
16400;0,417424242
16600;0,424411765
16800;0,428142857
17000;0,433611111
17200;0,439594595
17400;0,445263158
17600;0,45
17800;0,455375
18000;0,459512195
18200;0,464404762
18400;0,468372093
18600;0,474204545
18800;0,479222222
19000;0,484021739
19200;0,487978723
19400;0,491875
19600;0,496734694
19800;0,5004
20000;0,06
20200;0,085
20400;0,086666667
20600;0,10125
20800;0,108
21000;0,113333333
21200;0,118571429
21400;0,129375
21600;0,140555556
21800;0,148
22000;0,156363636
22200;0,16
22400;0,166538462
22600;0,1725
22800;0,18
23000;0,1875
23200;0,191470588
23400;0,193333333
23600;0,200789474
23800;0,207
24000;0,211666667
24200;0,217272727
24400;0,223043478
24600;0,227708333
24800;0,233
25000;0,2375
25200;0,243703704
25400;0,249642857
25600;0,254827586
25800;0,258833333
26000;0,261612903
26200;0,265
26400;0,269090909
26600;0,273382353
26800;0,278714286
27000;0,283194444
27200;0,288783784
27400;0,293552632
27600;0,296666667
27800;0,300625
28000;0,305609756
28200;0,308690476
28400;0,311395349
28600;0,315454545
28800;0,319777778
29000;0,323152174
29200;0,327446809
29400;0,330208333
29600;0,332857143
29800;0,3369
