Step,Action,Reward,RevealedBoard
1,"(4, 4)",42,"[[False, False, False, False, False, False], [False, False, False, False, False, False], [False, False, False, False, True, True], [False, False, True, True, True, True], [False, False, True, True, True, True], [False, False, True, True, True, True]]"
2,"(1, 3)",1,"[[False, False, False, False, False, False], [False, False, False, True, False, False], [False, False, False, False, True, True], [False, False, True, True, True, True], [False, False, True, True, True, True], [False, False, True, True, True, True]]"
3,"(3, 1)",1,"[[False, False, False, False, False, False], [False, False, False, True, False, False], [False, False, False, False, True, True], [False, True, True, True, True, True], [False, False, True, True, True, True], [False, False, True, True, True, True]]"
4,"(1, 2)",1,"[[False, False, False, False, False, False], [False, False, True, True, False, False], [False, False, False, False, True, True], [False, True, True, True, True, True], [False, False, True, True, True, True], [False, False, True, True, True, True]]"
5,"(1, 0)",33,"[[True, True, True, False, False, False], [True, True, True, True, False, False], [True, True, True, False, True, True], [True, True, True, True, True, True], [False, False, True, True, True, True], [False, False, True, True, True, True]]"
6,"(5, 1)",1,"[[True, True, True, False, False, False], [True, True, True, True, False, False], [True, True, True, False, True, True], [True, True, True, True, True, True], [False, False, True, True, True, True], [False, True, True, True, True, True]]"
7,"(0, 5)",1,"[[True, True, True, False, False, True], [True, True, True, True, False, False], [True, True, True, False, True, True], [True, True, True, True, True, True], [False, False, True, True, True, True], [False, True, True, True, True, True]]"
8,"(1, 5)",1,"[[True, True, True, False, False, True], [True, True, True, True, False, True], [True, True, True, False, True, True], [True, True, True, True, True, True], [False, False, True, True, True, True], [False, True, True, True, True, True]]"
9,"(5, 0)",1,"[[True, True, True, False, False, True], [True, True, True, True, False, True], [True, True, True, False, True, True], [True, True, True, True, True, True], [False, False, True, True, True, True], [True, True, True, True, True, True]]"
10,"(0, 4)",51,"[[True, True, True, False, True, True], [True, True, True, True, False, True], [True, True, True, False, True, True], [True, True, True, True, True, True], [False, False, True, True, True, True], [True, True, True, True, True, True]]"

Board
0,0,1,-1,2,1
0,0,2,3,-1,1
0,0,1,-1,2,1
2,2,2,1,1,0
-1,-1,1,0,0,0
2,2,1,0,0,0
