Step,Action,Reward,RevealedBoard
1,"(4, 4)",63,"[[False, False, False, False, False, False], [False, False, False, True, True, True], [False, False, True, True, True, True], [False, False, True, True, True, True], [False, False, True, True, True, True], [False, False, True, True, True, True]]"
2,"(0, 2)",1,"[[False, False, True, False, False, False], [False, False, False, True, True, True], [False, False, True, True, True, True], [False, False, True, True, True, True], [False, False, True, True, True, True], [False, False, True, True, True, True]]"
3,"(0, 3)",1,"[[False, False, True, True, False, False], [False, False, False, True, True, True], [False, False, True, True, True, True], [False, False, True, True, True, True], [False, False, True, True, True, True], [False, False, True, True, True, True]]"
4,"(0, 5)",1,"[[False, False, True, True, False, True], [False, False, False, True, True, True], [False, False, True, True, True, True], [False, False, True, True, True, True], [False, False, True, True, True, True], [False, False, True, True, True, True]]"
5,"(3, 1)",1,"[[False, False, True, True, False, True], [False, False, False, True, True, True], [False, False, True, True, True, True], [False, True, True, True, True, True], [False, False, True, True, True, True], [False, False, True, True, True, True]]"
6,"(1, 1)",1,"[[False, False, True, True, False, True], [False, True, False, True, True, True], [False, False, True, True, True, True], [False, True, True, True, True, True], [False, False, True, True, True, True], [False, False, True, True, True, True]]"
7,"(5, 1)",1,"[[False, False, True, True, False, True], [False, True, False, True, True, True], [False, False, True, True, True, True], [False, True, True, True, True, True], [False, False, True, True, True, True], [False, True, True, True, True, True]]"
8,"(3, 0)",1,"[[False, False, True, True, False, True], [False, True, False, True, True, True], [False, False, True, True, True, True], [True, True, True, True, True, True], [False, False, True, True, True, True], [False, True, True, True, True, True]]"
9,"(2, 1)",1,"[[False, False, True, True, False, True], [False, True, False, True, True, True], [False, True, True, True, True, True], [True, True, True, True, True, True], [False, False, True, True, True, True], [False, True, True, True, True, True]]"
10,"(4, 0)",1,"[[False, False, True, True, False, True], [False, True, False, True, True, True], [False, True, True, True, True, True], [True, True, True, True, True, True], [True, False, True, True, True, True], [False, True, True, True, True, True]]"
11,"(0, 1)",1,"[[False, True, True, True, False, True], [False, True, False, True, True, True], [False, True, True, True, True, True], [True, True, True, True, True, True], [True, False, True, True, True, True], [False, True, True, True, True, True]]"
12,"(0, 0)",106,"[[True, True, True, True, False, True], [True, True, False, True, True, True], [False, True, True, True, True, True], [True, True, True, True, True, True], [True, False, True, True, True, True], [False, True, True, True, True, True]]"

Board
0,1,1,2,-1,1
1,2,-1,2,1,1
-1,2,1,1,0,0
2,2,1,0,0,0
2,-1,1,0,0,0
-1,2,1,0,0,0
