Step,Action,Reward,RevealedBoard
1,"(3, 0)",10,"[[False, False, False, False, False, False], [False, False, False, False, False, False], [True, True, False, False, False, False], [True, True, False, False, False, False], [True, True, False, False, False, False], [False, False, False, False, False, False]]"
2,"(5, 4)",14,"[[False, False, False, False, False, False], [False, False, False, False, False, False], [True, True, False, False, False, False], [True, True, False, False, False, False], [True, True, False, True, True, True], [False, False, False, True, True, True]]"
3,"(0, 4)",1,"[[False, False, False, False, True, False], [False, False, False, False, False, False], [True, True, False, False, False, False], [True, True, False, False, False, False], [True, True, False, True, True, True], [False, False, False, True, True, True]]"
4,"(5, 2)",1,"[[False, False, False, False, True, False], [False, False, False, False, False, False], [True, True, False, False, False, False], [True, True, False, False, False, False], [True, True, False, True, True, True], [False, False, True, True, True, True]]"
5,"(1, 4)",1,"[[False, False, False, False, True, False], [False, False, False, False, True, False], [True, True, False, False, False, False], [True, True, False, False, False, False], [True, True, False, True, True, True], [False, False, True, True, True, True]]"
6,"(2, 4)",1,"[[False, False, False, False, True, False], [False, False, False, False, True, False], [True, True, False, False, True, False], [True, True, False, False, False, False], [True, True, False, True, True, True], [False, False, True, True, True, True]]"
7,"(3, 3)",1,"[[False, False, False, False, True, False], [False, False, False, False, True, False], [True, True, False, False, True, False], [True, True, False, True, False, False], [True, True, False, True, True, True], [False, False, True, True, True, True]]"
8,"(2, 2)",10,"[[False, False, False, False, True, False], [False, True, True, True, True, False], [True, True, True, True, True, False], [True, True, True, True, False, False], [True, True, False, True, True, True], [False, False, True, True, True, True]]"
9,"(3, 5)",1,"[[False, False, False, False, True, False], [False, True, True, True, True, False], [True, True, True, True, True, False], [True, True, True, True, False, True], [True, True, False, True, True, True], [False, False, True, True, True, True]]"
10,"(2, 5)",1,"[[False, False, False, False, True, False], [False, True, True, True, True, False], [True, True, True, True, True, True], [True, True, True, True, False, True], [True, True, False, True, True, True], [False, False, True, True, True, True]]"
11,"(0, 0)",1,"[[True, False, False, False, True, False], [False, True, True, True, True, False], [True, True, True, True, True, True], [True, True, True, True, False, True], [True, True, False, True, True, True], [False, False, True, True, True, True]]"
12,"(0, 1)",1,"[[True, True, False, False, True, False], [False, True, True, True, True, False], [True, True, True, True, True, True], [True, True, True, True, False, True], [True, True, False, True, True, True], [False, False, True, True, True, True]]"
13,"(1, 5)",10,"[[True, True, False, False, True, True], [False, True, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, False, True], [True, True, False, True, True, True], [False, False, True, True, True, True]]"
14,"(0, 2)",1,"[[True, True, True, False, True, True], [False, True, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, False, True], [True, True, False, True, True, True], [False, False, True, True, True, True]]"
15,"(5, 0)",-10,"[[True, True, True, False, True, True], [False, True, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, False, True], [True, True, False, True, True, True], [True, False, True, True, True, True]]"

Board
1,1,1,-1,1,0
-1,1,1,1,1,0
1,1,0,1,1,1
0,1,1,2,-1,1
1,2,-1,2,1,1
-1,2,1,1,0,0
