Step,Action,Reward,RevealedBoard
1,"(2, 4)",40,"[[False, False, False, False, False, False], [False, False, True, True, True, True], [False, False, True, True, True, True], [False, False, True, True, True, True], [False, False, False, False, True, True], [False, False, False, False, True, True]]"
2,"(0, 1)",1,"[[False, True, False, False, False, False], [False, False, True, True, True, True], [False, False, True, True, True, True], [False, False, True, True, True, True], [False, False, False, False, True, True], [False, False, False, False, True, True]]"
3,"(5, 3)",1,"[[False, True, False, False, False, False], [False, False, True, True, True, True], [False, False, True, True, True, True], [False, False, True, True, True, True], [False, False, False, False, True, True], [False, False, False, True, True, True]]"
4,"(4, 1)",1,"[[False, True, False, False, False, False], [False, False, True, True, True, True], [False, False, True, True, True, True], [False, False, True, True, True, True], [False, True, False, False, True, True], [False, False, False, True, True, True]]"
5,"(0, 3)",1,"[[False, True, False, True, False, False], [False, False, True, True, True, True], [False, False, True, True, True, True], [False, False, True, True, True, True], [False, True, False, False, True, True], [False, False, False, True, True, True]]"
6,"(0, 5)",1,"[[False, True, False, True, False, True], [False, False, True, True, True, True], [False, False, True, True, True, True], [False, False, True, True, True, True], [False, True, False, False, True, True], [False, False, False, True, True, True]]"
7,"(0, 0)",1,"[[True, True, False, True, False, True], [False, False, True, True, True, True], [False, False, True, True, True, True], [False, False, True, True, True, True], [False, True, False, False, True, True], [False, False, False, True, True, True]]"
8,"(3, 0)",19,"[[True, True, False, True, False, True], [False, False, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True], [True, True, False, False, True, True], [True, True, False, True, True, True]]"
9,"(0, 2)",1,"[[True, True, True, True, False, True], [False, False, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True], [True, True, False, False, True, True], [True, True, False, True, True, True]]"
10,"(1, 0)",51,"[[True, True, True, True, False, True], [True, False, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True], [True, True, False, False, True, True], [True, True, False, True, True, True]]"

Board
1,1,1,1,-1,1
1,-1,1,1,1,1
1,1,1,0,0,0
0,1,2,2,1,0
0,2,-1,-1,1,0
0,2,-1,3,1,0
