Step,Action,Reward,RevealedBoard
1,"(0, 2)",66,"[[True, True, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True], [False, False, False, False, False, False], [False, False, False, False, False, False], [False, False, False, False, False, False]]"
2,"(4, 3)",1,"[[True, True, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True], [False, False, False, False, False, False], [False, False, False, True, False, False], [False, False, False, False, False, False]]"
3,"(4, 0)",1,"[[True, True, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True], [False, False, False, False, False, False], [True, False, False, True, False, False], [False, False, False, False, False, False]]"
4,"(4, 2)",1,"[[True, True, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True], [False, False, False, False, False, False], [True, False, True, True, False, False], [False, False, False, False, False, False]]"
5,"(4, 5)",1,"[[True, True, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True], [False, False, False, False, False, False], [True, False, True, True, False, True], [False, False, False, False, False, False]]"
6,"(5, 5)",7,"[[True, True, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True], [False, False, False, False, False, False], [True, False, True, True, True, True], [False, False, False, False, True, True]]"
7,"(5, 1)",1,"[[True, True, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True], [False, False, False, False, False, False], [True, False, True, True, True, True], [False, True, False, False, True, True]]"
8,"(4, 1)",1,"[[True, True, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True], [False, False, False, False, False, False], [True, True, True, True, True, True], [False, True, False, False, True, True]]"
9,"(3, 5)",1,"[[True, True, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True], [False, False, False, False, False, True], [True, True, True, True, True, True], [False, True, False, False, True, True]]"
10,"(3, 2)",1,"[[True, True, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True], [False, False, True, False, False, True], [True, True, True, True, True, True], [False, True, False, False, True, True]]"
11,"(5, 0)",5,"[[True, True, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True], [False, False, True, False, False, True], [True, True, True, True, True, True], [True, True, False, False, True, True]]"
12,"(3, 1)",51,"[[True, True, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True], [False, True, True, False, False, True], [True, True, True, True, True, True], [True, True, False, False, True, True]]"

Board
0,0,0,0,0,0
0,0,0,0,0,0
1,1,1,2,2,1
-1,1,1,-1,-1,1
1,2,3,4,3,1
0,1,-1,-1,1,0
