Step,Action,Reward,RevealedBoard
1,"(5, 2)",54,"[[False, False, False, False, False, False], [False, False, False, False, True, True], [False, False, False, False, True, True], [False, False, False, False, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True]]"
2,"(3, 2)",1,"[[False, False, False, False, False, False], [False, False, False, False, True, True], [False, False, False, False, True, True], [False, False, True, False, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True]]"
3,"(1, 3)",1,"[[False, False, False, False, False, False], [False, False, False, True, True, True], [False, False, False, False, True, True], [False, False, True, False, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True]]"
4,"(1, 1)",1,"[[False, False, False, False, False, False], [False, True, False, True, True, True], [False, False, False, False, True, True], [False, False, True, False, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True]]"
5,"(2, 0)",1,"[[False, False, False, False, False, False], [False, True, False, True, True, True], [True, False, False, False, True, True], [False, False, True, False, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True]]"
6,"(2, 3)",1,"[[False, False, False, False, False, False], [False, True, False, True, True, True], [True, False, False, True, True, True], [False, False, True, False, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True]]"
7,"(1, 2)",1,"[[False, False, False, False, False, False], [False, True, True, True, True, True], [True, False, False, True, True, True], [False, False, True, False, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True]]"
8,"(0, 5)",1,"[[False, False, False, False, False, True], [False, True, True, True, True, True], [True, False, False, True, True, True], [False, False, True, False, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True]]"
9,"(2, 2)",1,"[[False, False, False, False, False, True], [False, True, True, True, True, True], [True, False, True, True, True, True], [False, False, True, False, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True]]"
10,"(0, 2)",117,"[[True, True, True, True, False, True], [True, True, True, True, True, True], [True, False, True, True, True, True], [False, False, True, False, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True]]"

Board
0,0,0,1,-1,1
1,1,1,1,1,1
3,-1,3,1,1,0
-1,-1,3,-1,1,0
2,2,2,1,1,0
0,0,0,0,0,0
