Step,Action,Reward,RevealedBoard
1,"(5, 3)",70,"[[False, False, False, True, True, True], [False, False, False, True, True, True], [False, False, False, False, True, True], [False, False, True, True, True, True], [False, True, True, True, True, True], [False, True, True, True, True, True]]"
2,"(2, 2)",1,"[[False, False, False, True, True, True], [False, False, False, True, True, True], [False, False, True, False, True, True], [False, False, True, True, True, True], [False, True, True, True, True, True], [False, True, True, True, True, True]]"
3,"(2, 1)",1,"[[False, False, False, True, True, True], [False, False, False, True, True, True], [False, True, True, False, True, True], [False, False, True, True, True, True], [False, True, True, True, True, True], [False, True, True, True, True, True]]"
4,"(3, 0)",1,"[[False, False, False, True, True, True], [False, False, False, True, True, True], [False, True, True, False, True, True], [True, False, True, True, True, True], [False, True, True, True, True, True], [False, True, True, True, True, True]]"
5,"(0, 1)",1,"[[False, True, False, True, True, True], [False, False, False, True, True, True], [False, True, True, False, True, True], [True, False, True, True, True, True], [False, True, True, True, True, True], [False, True, True, True, True, True]]"
6,"(1, 0)",1,"[[False, True, False, True, True, True], [True, False, False, True, True, True], [False, True, True, False, True, True], [True, False, True, True, True, True], [False, True, True, True, True, True], [False, True, True, True, True, True]]"
7,"(2, 0)",1,"[[False, True, False, True, True, True], [True, False, False, True, True, True], [True, True, True, False, True, True], [True, False, True, True, True, True], [False, True, True, True, True, True], [False, True, True, True, True, True]]"
8,"(1, 1)",1,"[[False, True, False, True, True, True], [True, True, False, True, True, True], [True, True, True, False, True, True], [True, False, True, True, True, True], [False, True, True, True, True, True], [False, True, True, True, True, True]]"
9,"(0, 2)",1,"[[False, True, True, True, True, True], [True, True, False, True, True, True], [True, True, True, False, True, True], [True, False, True, True, True, True], [False, True, True, True, True, True], [False, True, True, True, True, True]]"
10,"(5, 0)",51,"[[False, True, True, True, True, True], [True, True, False, True, True, True], [True, True, True, False, True, True], [True, False, True, True, True, True], [False, True, True, True, True, True], [True, True, True, True, True, True]]"

Board
-1,2,1,1,0,0
1,2,-1,2,1,0
1,2,3,-1,1,0
2,-1,2,1,1,0
-1,2,1,0,0,0
1,1,0,0,0,0
