Step,Action,Reward,RevealedBoard
1,"(5, 3)",30,"[[False, False, False, False, False, False], [False, False, False, False, False, False], [False, False, True, True, True, False], [False, False, True, True, True, False], [False, True, True, True, True, False], [False, True, True, True, True, False]]"
2,"(3, 5)",1,"[[False, False, False, False, False, False], [False, False, False, False, False, False], [False, False, True, True, True, False], [False, False, True, True, True, True], [False, True, True, True, True, False], [False, True, True, True, True, False]]"
3,"(2, 0)",1,"[[False, False, False, False, False, False], [False, False, False, False, False, False], [True, False, True, True, True, False], [False, False, True, True, True, True], [False, True, True, True, True, False], [False, True, True, True, True, False]]"
4,"(1, 1)",1,"[[False, False, False, False, False, False], [False, True, False, False, False, False], [True, False, True, True, True, False], [False, False, True, True, True, True], [False, True, True, True, True, False], [False, True, True, True, True, False]]"
5,"(3, 0)",1,"[[False, False, False, False, False, False], [False, True, False, False, False, False], [True, False, True, True, True, False], [True, False, True, True, True, True], [False, True, True, True, True, False], [False, True, True, True, True, False]]"
6,"(0, 0)",1,"[[True, False, False, False, False, False], [False, True, False, False, False, False], [True, False, True, True, True, False], [True, False, True, True, True, True], [False, True, True, True, True, False], [False, True, True, True, True, False]]"
7,"(0, 4)",1,"[[True, False, False, False, True, False], [False, True, False, False, False, False], [True, False, True, True, True, False], [True, False, True, True, True, True], [False, True, True, True, True, False], [False, True, True, True, True, False]]"
8,"(1, 2)",1,"[[True, False, False, False, True, False], [False, True, True, False, False, False], [True, False, True, True, True, False], [True, False, True, True, True, True], [False, True, True, True, True, False], [False, True, True, True, True, False]]"
9,"(2, 1)",1,"[[True, False, False, False, True, False], [False, True, True, False, False, False], [True, True, True, True, True, False], [True, False, True, True, True, True], [False, True, True, True, True, False], [False, True, True, True, True, False]]"
10,"(5, 0)",1,"[[True, False, False, False, True, False], [False, True, True, False, False, False], [True, True, True, True, True, False], [True, False, True, True, True, True], [False, True, True, True, True, False], [True, True, True, True, True, False]]"
11,"(1, 5)",1,"[[True, False, False, False, True, False], [False, True, True, False, False, True], [True, True, True, True, True, False], [True, False, True, True, True, True], [False, True, True, True, True, False], [True, True, True, True, True, False]]"
12,"(0, 5)",1,"[[True, False, False, False, True, True], [False, True, True, False, False, True], [True, True, True, True, True, False], [True, False, True, True, True, True], [False, True, True, True, True, False], [True, True, True, True, True, False]]"
13,"(0, 3)",1,"[[True, False, False, True, True, True], [False, True, True, False, False, True], [True, True, True, True, True, False], [True, False, True, True, True, True], [False, True, True, True, True, False], [True, True, True, True, True, False]]"
14,"(2, 5)",1,"[[True, False, False, True, True, True], [False, True, True, False, False, True], [True, True, True, True, True, True], [True, False, True, True, True, True], [False, True, True, True, True, False], [True, True, True, True, True, False]]"
15,"(5, 5)",1,"[[True, False, False, True, True, True], [False, True, True, False, False, True], [True, True, True, True, True, True], [True, False, True, True, True, True], [False, True, True, True, True, False], [True, True, True, True, True, True]]"
16,"(0, 2)",1,"[[True, False, True, True, True, True], [False, True, True, False, False, True], [True, True, True, True, True, True], [True, False, True, True, True, True], [False, True, True, True, True, False], [True, True, True, True, True, True]]"
17,"(1, 0)",1,"[[True, False, True, True, True, True], [True, True, True, False, False, True], [True, True, True, True, True, True], [True, False, True, True, True, True], [False, True, True, True, True, False], [True, True, True, True, True, True]]"
18,"(1, 3)",51,"[[True, False, True, True, True, True], [True, True, True, True, False, True], [True, True, True, True, True, True], [True, False, True, True, True, True], [False, True, True, True, True, False], [True, True, True, True, True, True]]"

Board
1,-1,1,1,1,1
1,1,1,1,-1,1
1,1,1,1,1,1
2,-1,1,0,1,1
-1,2,1,0,1,-1
1,1,0,0,1,1
