Step,Action,Reward,RevealedBoard
1,"(2, 2)",24,"[[False, False, False, False, False, False], [True, True, True, True, False, False], [True, True, True, True, False, False], [True, True, True, True, False, False], [False, False, False, False, False, False], [False, False, False, False, False, False]]"
2,"(5, 5)",25,"[[False, False, False, False, False, False], [True, True, True, True, False, False], [True, True, True, True, False, False], [True, True, True, True, True, False], [False, False, True, True, True, True], [False, False, True, True, True, True]]"
3,"(0, 5)",1,"[[False, False, False, False, False, True], [True, True, True, True, False, False], [True, True, True, True, False, False], [True, True, True, True, True, False], [False, False, True, True, True, True], [False, False, True, True, True, True]]"
4,"(2, 5)",1,"[[False, False, False, False, False, True], [True, True, True, True, False, False], [True, True, True, True, False, True], [True, True, True, True, True, False], [False, False, True, True, True, True], [False, False, True, True, True, True]]"
5,"(0, 4)",1,"[[False, False, False, False, True, True], [True, True, True, True, False, False], [True, True, True, True, False, True], [True, True, True, True, True, False], [False, False, True, True, True, True], [False, False, True, True, True, True]]"
6,"(4, 0)",1,"[[False, False, False, False, True, True], [True, True, True, True, False, False], [True, True, True, True, False, True], [True, True, True, True, True, False], [True, False, True, True, True, True], [False, False, True, True, True, True]]"
7,"(5, 1)",1,"[[False, False, False, False, True, True], [True, True, True, True, False, False], [True, True, True, True, False, True], [True, True, True, True, True, False], [True, False, True, True, True, True], [False, True, True, True, True, True]]"
8,"(0, 2)",1,"[[False, False, True, False, True, True], [True, True, True, True, False, False], [True, True, True, True, False, True], [True, True, True, True, True, False], [True, False, True, True, True, True], [False, True, True, True, True, True]]"
9,"(5, 0)",1,"[[False, False, True, False, True, True], [True, True, True, True, False, False], [True, True, True, True, False, True], [True, True, True, True, True, False], [True, False, True, True, True, True], [True, True, True, True, True, True]]"
10,"(1, 5)",1,"[[False, False, True, False, True, True], [True, True, True, True, False, True], [True, True, True, True, False, True], [True, True, True, True, True, False], [True, False, True, True, True, True], [True, True, True, True, True, True]]"
11,"(0, 0)",1,"[[True, False, True, False, True, True], [True, True, True, True, False, True], [True, True, True, True, False, True], [True, True, True, True, True, False], [True, False, True, True, True, True], [True, True, True, True, True, True]]"
12,"(0, 3)",51,"[[True, False, True, True, True, True], [True, True, True, True, False, True], [True, True, True, True, False, True], [True, True, True, True, True, False], [True, False, True, True, True, True], [True, True, True, True, True, True]]"

Board
1,-1,1,1,1,1
1,1,1,2,-1,2
0,0,0,2,-1,3
1,1,1,1,2,-1
1,-1,1,0,1,1
1,1,1,0,0,0
