Step,Action,Reward,RevealedBoard
1,"(3, 1)",27,"[[False, False, False, False, False, False], [False, False, False, False, False, False], [True, True, True, False, False, False], [True, True, True, False, False, False], [True, True, True, False, False, False], [True, True, False, False, False, False]]"
2,"(1, 3)",1,"[[False, False, False, False, False, False], [False, False, False, True, False, False], [True, True, True, False, False, False], [True, True, True, False, False, False], [True, True, True, False, False, False], [True, True, False, False, False, False]]"
3,"(3, 4)",1,"[[False, False, False, False, False, False], [False, False, False, True, False, False], [True, True, True, False, False, False], [True, True, True, False, True, False], [True, True, True, False, False, False], [True, True, False, False, False, False]]"
4,"(0, 5)",24,"[[False, False, False, True, True, True], [False, False, False, True, True, True], [True, True, True, False, True, True], [True, True, True, False, True, True], [True, True, True, False, False, False], [True, True, False, False, False, False]]"
5,"(3, 3)",1,"[[False, False, False, True, True, True], [False, False, False, True, True, True], [True, True, True, False, True, True], [True, True, True, True, True, True], [True, True, True, False, False, False], [True, True, False, False, False, False]]"
6,"(5, 4)",1,"[[False, False, False, True, True, True], [False, False, False, True, True, True], [True, True, True, False, True, True], [True, True, True, True, True, True], [True, True, True, False, False, False], [True, True, False, False, True, False]]"
7,"(4, 5)",1,"[[False, False, False, True, True, True], [False, False, False, True, True, True], [True, True, True, False, True, True], [True, True, True, True, True, True], [True, True, True, False, False, True], [True, True, False, False, True, False]]"
8,"(0, 0)",1,"[[True, False, False, True, True, True], [False, False, False, True, True, True], [True, True, True, False, True, True], [True, True, True, True, True, True], [True, True, True, False, False, True], [True, True, False, False, True, False]]"
9,"(5, 3)",1,"[[True, False, False, True, True, True], [False, False, False, True, True, True], [True, True, True, False, True, True], [True, True, True, True, True, True], [True, True, True, False, False, True], [True, True, False, True, True, False]]"
10,"(0, 1)",1,"[[True, True, False, True, True, True], [False, False, False, True, True, True], [True, True, True, False, True, True], [True, True, True, True, True, True], [True, True, True, False, False, True], [True, True, False, True, True, False]]"
11,"(5, 5)",1,"[[True, True, False, True, True, True], [False, False, False, True, True, True], [True, True, True, False, True, True], [True, True, True, True, True, True], [True, True, True, False, False, True], [True, True, False, True, True, True]]"
12,"(4, 3)",1,"[[True, True, False, True, True, True], [False, False, False, True, True, True], [True, True, True, False, True, True], [True, True, True, True, True, True], [True, True, True, True, False, True], [True, True, False, True, True, True]]"
13,"(2, 3)",-10,"[[True, True, False, True, True, True], [False, False, False, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, False, True], [True, True, False, True, True, True]]"

Board
1,2,1,1,0,0
-1,2,-1,2,1,0
1,2,2,-1,1,0
0,0,1,2,2,1
0,1,1,2,-1,1
0,1,-1,2,1,1
