Step,Action,Reward,RevealedBoard
1,"(1, 3)",58,"[[True, True, True, True, True, False], [True, True, True, True, True, False], [True, True, True, True, True, False], [True, True, True, False, False, False], [False, False, False, False, False, False], [False, False, False, False, False, False]]"
2,"(5, 1)",1,"[[True, True, True, True, True, False], [True, True, True, True, True, False], [True, True, True, True, True, False], [True, True, True, False, False, False], [False, False, False, False, False, False], [False, True, False, False, False, False]]"
3,"(5, 3)",1,"[[True, True, True, True, True, False], [True, True, True, True, True, False], [True, True, True, True, True, False], [True, True, True, False, False, False], [False, False, False, False, False, False], [False, True, False, True, False, False]]"
4,"(0, 5)",1,"[[True, True, True, True, True, True], [True, True, True, True, True, False], [True, True, True, True, True, False], [True, True, True, False, False, False], [False, False, False, False, False, False], [False, True, False, True, False, False]]"
5,"(5, 5)",13,"[[True, True, True, True, True, True], [True, True, True, True, True, False], [True, True, True, True, True, False], [True, True, True, False, False, False], [False, False, False, True, True, True], [False, True, False, True, True, True]]"
6,"(2, 5)",1,"[[True, True, True, True, True, True], [True, True, True, True, True, False], [True, True, True, True, True, True], [True, True, True, False, False, False], [False, False, False, True, True, True], [False, True, False, True, True, True]]"
7,"(5, 2)",1,"[[True, True, True, True, True, True], [True, True, True, True, True, False], [True, True, True, True, True, True], [True, True, True, False, False, False], [False, False, False, True, True, True], [False, True, True, True, True, True]]"
8,"(5, 0)",1,"[[True, True, True, True, True, True], [True, True, True, True, True, False], [True, True, True, True, True, True], [True, True, True, False, False, False], [False, False, False, True, True, True], [True, True, True, True, True, True]]"
9,"(4, 0)",1,"[[True, True, True, True, True, True], [True, True, True, True, True, False], [True, True, True, True, True, True], [True, True, True, False, False, False], [True, False, False, True, True, True], [True, True, True, True, True, True]]"
10,"(1, 5)",-10,"[[True, True, True, True, True, True], [True, True, True, True, True, True], [True, True, True, True, True, True], [True, True, True, False, False, False], [True, False, False, True, True, True], [True, True, True, True, True, True]]"

Board
0,0,0,0,1,1
0,0,0,0,1,-1
0,0,1,1,3,2
1,2,3,-1,2,-1
1,-1,-1,2,2,1
1,2,2,1,0,0
